year,month,gpr
2009,1,85.37
2009,2,67.45
2009,3,72.64
2009,4,85.69
2009,5,89.68
2009,6,81.11
2009,7,83.44
2009,8,73.37
2009,9,92.84
2009,10,90.58
2009,11,82.1
2009,12,92.95
2010,1,91.58
2010,2,80.73
2010,3,74.12
2010,4,88.76
2010,5,88.96
2010,6,96.45
2010,7,79.38
2010,8,80.99
2010,9,71.17
2010,10,65.99
2010,11,94.71
2010,12,97.2
2011,1,79.42
2011,2,90.01
2011,3,136.89
2011,4,91.02
2011,5,105.34
2011,6,84.39
2011,7,78.92
2011,8,86.95
2011,9,83.35
2011,10,76.34
2011,11,83.16
2011,12,85.34
2012,1,79.63
2012,2,92.45
2012,3,88.76
2012,4,96.02
2012,5,78.17
2012,6,77.82
2012,7,82.81
2012,8,74.88
2012,9,69.28
2012,10,81.66
2012,11,81.39
2012,12,74.83
2013,1,90.66
2013,2,81.59
2013,3,75.9
2013,4,95.11
2013,5,83.72
2013,6,82.97
2013,7,73.98
2013,8,90.96
2013,9,100.46
2013,10,72.95
2013,11,77.78
2013,12,70.37
2014,1,77.92
2014,2,69.0
2014,3,119.84
2014,4,93.22
2014,5,83.43
2014,6,98.77
2014,7,138.75
2014,8,136.45
2014,9,131.56
2014,10,83.66
2014,11,84.38
2014,12,86.53
2015,1,111.99
2015,2,111.92
2015,3,104.24
2015,4,102.19
2015,5,76.26
2015,6,85.91
2015,7,106.81
2015,8,82.48
2015,9,98.77
2015,10,91.93
2015,11,150.72
2015,12,148.24
2016,1,118.21
2016,2,103.75
2016,3,109.72
2016,4,85.22
2016,5,88.33
2016,6,90.17
2016,7,114.61
2016,8,98.74
2016,9,104.55
2016,10,85.75
2016,11,82.92
2016,12,102.18
2017,1,105.2
2017,2,114.21
2017,3,96.64
2017,4,119.46
2017,5,102.58
2017,6,126.79
2017,7,102.81
2017,8,138.53
2017,9,115.53
2017,10,91.46
2017,11,92.6
2017,12,82.72
2018,1,92.43
2018,2,64.49
2018,3,111.96
2018,4,123.26
2018,5,125.67
2018,6,103.97
2018,7,110.03
2018,8,112.74
2018,9,75.05
2018,10,92.02
2018,11,80.41
2018,12,90.61
2019,1,87.42
2019,2,96.8
2019,3,82.33
2019,4,79.25
2019,5,106.47
2019,6,106.59
2019,7,93.52
2019,8,103.4
2019,9,90.37
2019,10,97.84
2019,11,73.08
2019,12,74.28
2020,1,138.42
2020,2,75.96
2020,3,81.54
2020,4,69.34
2020,5,68.51
2020,6,71.23
2020,7,66.47
2020,8,65.47
2020,9,80.38
2020,10,76.08
2020,11,70.07
2020,12,64.07
2021,1,77.42
2021,2,73.96
2021,3,78.62
2021,4,88.17
2021,5,93.01
2021,6,74.13
2021,7,58.42
2021,8,89.49
2021,9,80.7
2021,10,79.03
2021,11,86.57
2021,12,105.35
2022,1,138.67
2022,2,216.16
2022,3,318.95
2022,4,191.14
2022,5,142.26
2022,6,130.71
2022,7,117.18
2022,8,132.86
2022,9,131.99
2022,10,143.16
2022,11,116.72
2022,12,111.2
2023,1,104.27
2023,2,120.99
2023,3,105.38
2023,4,106.81
2023,5,108.47
2023,6,110.53
2023,7,107.45
2023,8,101.14
2023,9,98.63
2023,10,197.89
2023,11,156.7
2023,12,142.28
2024,1,160.37
2024,2,146.6
2024,3,133.21
2024,4,163.95
2024,5,130.52
2024,6,113.09
2024,7,92.39
2024,8,140.98
2024,9,130.36
2024,10,130.69
2024,11,128.9
2024,12,142.37
